id,bbox,sick
Train_389.jpg,"[0, 0, 64, 43]",0
Train_1326.jpg,"[128, 0, 64, 43]",1
Train_1114.jpg,"[192, 0, 64, 43]",0
Train_963.jpg,"[256, 0, 64, 43]",0
Train_1739.jpg,"[320, 0, 64, 43]",1
Train_699.jpg,"[384, 0, 64, 43]",1
Train_1571.jpg,"[512, 0, 64, 43]",1
Train_18.jpg,"[704, 0, 64, 43]",0
Train_547.jpg,"[768, 0, 64, 43]",0
Train_1534.jpg,"[832, 0, 64, 43]",1
Train_826.jpg,"[896, 0, 64, 43]",0
Train_298.jpg,"[960, 0, 64, 43]",0
Train_121.jpg,"[1024, 0, 64, 43]",1
Train_754.jpg,"[1152, 0, 64, 43]",1
Train_550.jpg,"[1216, 0, 64, 43]",0
Train_778.jpg,"[1280, 0, 64, 43]",1
Train_1346.jpg,"[1344, 0, 64, 43]",1
Train_480.jpg,"[1408, 0, 64, 43]",1
Train_48.jpg,"[1472, 0, 64, 43]",1
Train_928.jpg,"[1536, 0, 64, 43]",1
Train_203.jpg,"[1600, 0, 64, 43]",1
Train_1642.jpg,"[1664, 0, 64, 43]",1
Train_949.jpg,"[1728, 0, 64, 43]",1
Train_728.jpg,"[1792, 0, 64, 43]",1
Train_1280.jpg,"[64, 43, 64, 43]",1
Train_252.jpg,"[128, 43, 64, 43]",1
Train_278.jpg,"[192, 43, 64, 43]",0
Train_1805.jpg,"[320, 43, 64, 43]",1
Train_1120.jpg,"[384, 43, 64, 43]",1
Train_1197.jpg,"[448, 43, 64, 43]",1
Train_1012.jpg,"[512, 43, 64, 43]",0
Train_832.jpg,"[576, 43, 64, 43]",1
Train_857.jpg,"[640, 43, 64, 43]",1
Train_493.jpg,"[704, 43, 64, 43]",1
Train_1625.jpg,"[768, 43, 64, 43]",1
Train_344.jpg,"[832, 43, 64, 43]",1
Train_467.jpg,"[896, 43, 64, 43]",1
Train_1404.jpg,"[960, 43, 64, 43]",1
Train_1018.jpg,"[1024, 43, 64, 43]",1
Train_247.jpg,"[1088, 43, 64, 43]",0
Train_1212.jpg,"[1152, 43, 64, 43]",1
Train_1134.jpg,"[1216, 43, 64, 43]",1
Train_428.jpg,"[1344, 43, 64, 43]",1
Train_784.jpg,"[1408, 43, 64, 43]",1
Train_51.jpg,"[1472, 43, 64, 43]",1
Train_1456.jpg,"[1600, 43, 64, 43]",1
Train_376.jpg,"[1728, 43, 64, 43]",0
Train_514.jpg,"[1792, 43, 64, 43]",1
Train_1345.jpg,"[0, 86, 64, 43]",1
Train_1814.jpg,"[64, 86, 64, 43]",0
Train_1636.jpg,"[128, 86, 64, 43]",1
Train_391.jpg,"[192, 86, 64, 43]",1
Train_1131.jpg,"[256, 86, 64, 43]",0
Train_1713.jpg,"[320, 86, 64, 43]",1
Train_457.jpg,"[448, 86, 64, 43]",1
Train_237.jpg,"[512, 86, 64, 43]",1
Train_1237.jpg,"[832, 86, 64, 43]",0
Train_258.jpg,"[960, 86, 64, 43]",1
Train_1079.jpg,"[1088, 86, 64, 43]",0
Train_839.jpg,"[1152, 86, 64, 43]",0
Train_104.jpg,"[1216, 86, 64, 43]",1
Train_1583.jpg,"[1280, 86, 64, 43]",0
Train_275.jpg,"[1344, 86, 64, 43]",1
Train_980.jpg,"[1408, 86, 64, 43]",0
Train_295.jpg,"[1472, 86, 64, 43]",0
Train_899.jpg,"[1536, 86, 64, 43]",1
Train_787.jpg,"[1600, 86, 64, 43]",1
Train_62.jpg,"[1664, 86, 64, 43]",1
Train_1236.jpg,"[1728, 86, 64, 43]",1
Train_793.jpg,"[1792, 86, 64, 43]",1
Train_484.jpg,"[0, 129, 64, 43]",1
Train_1254.jpg,"[64, 129, 64, 43]",0
Train_569.jpg,"[256, 129, 64, 43]",0
Train_558.jpg,"[320, 129, 64, 43]",0
Train_1013.jpg,"[384, 129, 64, 43]",1
Train_1494.jpg,"[576, 129, 64, 43]",1
Train_1780.jpg,"[640, 129, 64, 43]",1
Train_1618.jpg,"[704, 129, 64, 43]",1
Train_643.jpg,"[768, 129, 64, 43]",1
Train_113.jpg,"[896, 129, 64, 43]",1
Train_1107.jpg,"[960, 129, 64, 43]",1
Train_482.jpg,"[1024, 129, 64, 43]",1
Train_393.jpg,"[1088, 129, 64, 43]",0
Train_1574.jpg,"[1152, 129, 64, 43]",1
Train_355.jpg,"[1280, 129, 64, 43]",1
Train_1270.jpg,"[1344, 129, 64, 43]",1
Train_597.jpg,"[1408, 129, 64, 43]",0
Train_1217.jpg,"[1472, 129, 64, 43]",1
Train_1811.jpg,"[1536, 129, 64, 43]",1
Train_1649.jpg,"[1600, 129, 64, 43]",1
Train_538.jpg,"[1664, 129, 64, 43]",1
Train_4.jpg,"[0, 172, 64, 43]",0
Train_36.jpg,"[64, 172, 64, 43]",1
Train_170.jpg,"[384, 172, 64, 43]",1
Train_125.jpg,"[448, 172, 64, 43]",1
Train_1601.jpg,"[512, 172, 64, 43]",0
Train_1796.jpg,"[576, 172, 64, 43]",1
Train_1673.jpg,"[640, 172, 64, 43]",1
Train_173.jpg,"[704, 172, 64, 43]",1
Train_71.jpg,"[832, 172, 64, 43]",1
Train_286.jpg,"[896, 172, 64, 43]",1
Train_1225.jpg,"[960, 172, 64, 43]",1
Train_1173.jpg,"[1088, 172, 64, 43]",1
Train_1454.jpg,"[1152, 172, 64, 43]",1
Train_306.jpg,"[1216, 172, 64, 43]",1
Train_1202.jpg,"[1344, 172, 64, 43]",1
Train_603.jpg,"[1408, 172, 64, 43]",0
Train_990.jpg,"[1472, 172, 64, 43]",1
Train_1554.jpg,"[1536, 172, 64, 43]",1
Train_1536.jpg,"[1664, 172, 64, 43]",1
Train_1631.jpg,"[1728, 172, 64, 43]",0
Train_576.jpg,"[1792, 172, 64, 43]",1
